id,naslov,dolzina,leto,ocena,metascore,glasovi,zasluzek,oznaka,opis
32976,Rebecca,130,1940,8.1,86,121358,4360000,,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
33028,Morski volk,127,1940,7.7,,9024,,,"Geoffrey Thorpe, a buccaneer, is hired by Queen Elizabeth I to nag the Spanish Armada. The Armada is waiting for the attack on England and Thorpe surprises them with attacks on their galleons where he shows his skills on the sword."
33045,Trgovina za vogalom,99,1940,8.1,96,27093,203300,,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
33152,The Thief of Bagdad,106,1940,7.5,,11743,268948,,"After being tricked and cast out of Bagdad by the evil Jaffar, King Ahmad joins forces with a thief named Abu to reclaim his throne, the city, and the Princess he loves."
33238,Waterloo Bridge,108,1940,7.8,,8786,,,"During World War I, believing her fiance to be dead, a young ballerina loses her job and is forced to turn to prostitution."
33373,Ball of Fire,111,1941,7.8,78,10654,,,A group of professors working on a new encyclopedia encounter a mouthy nightclub singer who is wanted by the police to help bring down her mob boss lover.
33467,Državljan Kane,119,1941,8.3,100,393019,1585634,PG,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'."
33553,Dr. Jekyll and Mr. Hyde,113,1941,6.8,,8168,,,Dr. Jekyll allows his dark side to run wild when he drinks a potion that turns him into the evil Mr. Hyde.
33563,Dumbo,64,1941,7.2,96,117911,1600000,G,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential."
33717,High Sierra,100,1941,7.5,,14843,,,"After being released from prison, notorious thief Roy Earle is hired by his old boss to help a group of inexperienced criminals plan and carry out the robbery of a California resort."
33729,How Green Was My Valley,118,1941,7.7,,21005,,,"At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life."
33804,Lady Eve,94,1941,7.8,96,18803,,,"A trio of classy card sharks targets the socially awkward heir to brewery millions for his money, until one of them falls in love with him."
33836,The Little Foxes,116,1941,8.0,,10215,,,"The ruthless, moneyed Hubbard clan lives in, and poisons, their part of the deep South at the turn of the twentieth century."
33870,Malteški sokol,100,1941,8.0,96,147444,2108060,,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette."
33891,Meet John Doe,135,1941,7.6,,11892,,,"A man needing money agrees to impersonate a non-existent person who said he'd be committing suicide as a protest, and a political movement begins."
33922,Mr. & Mrs. Smith,95,1941,6.4,,9209,,,A couple who have been married for three years are shocked to learn that their marriage is not legally valid.
34167,Sergeant York,134,1941,7.7,,15148,16400000,,A marksman is drafted in World War I and ends up becoming one of the most celebrated war heroes.
34240,Sullivanova potovanja,90,1941,7.9,,23702,,,"A Hollywood director, John L Sullivan, sets out to experience life as a poor, homeless person in order to gain relevant life experience for his next movie."
34248,Sum,99,1941,7.4,83,32096,4500000,,"A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her."
34398,The Wolf Man,70,1941,7.3,72,23582,,,"Larry Talbot returns to his father's castle in Wales and meets a beautiful woman. One fateful night, Talbot escorts her to a local carnival where they meet a mysterious gypsy fortune teller."
34492,Bambi,70,1942,7.3,91,129319,102797150,G,The story of a young deer growing up in the forest.
34583,Casablanca,102,1942,8.5,100,514328,1024560,PG,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.
34587,Cat People,73,1942,7.3,,19640,4000000,,An American man marries a Serbian immigrant who fears that she will turn into the cat person of her homeland's fables if they are intimate together.
34862,Holiday Inn,100,1942,7.4,,12800,8175000,,"At an inn which is only open on holidays, a crooner and a hoofer vie for the affections of a beautiful up-and-coming performer."
35015,Velicastni Ambersonovi,88,1942,7.7,93,22191,,,The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.
35093,Mrs. Miniver,134,1942,7.6,,15643,13500000,,A British family struggles to survive the first months of World War II.
35140,Na razpotju,117,1942,7.9,70,14927,,,"A frumpy spinster blossoms under therapy and becomes an elegant, independent woman."
35169,The Palm Beach Story,88,1942,7.5,,10639,438200,,"An inventor needs cash to develop his big idea. His wife, who loves him, decides to raise it for him by divorcing him and marrying a millionaire."
35211,The Pride of the Yankees,128,1942,7.7,,9749,,,The story of the life and career of famed baseball player Lou Gehrig.
35279,Saboteur,109,1942,7.2,64,22906,,,A young man accused of sabotage goes on the lam to prove his innocence.
35423,Kate in Leopold,118,2001,6.4,44,78225,47121859,PG-13,An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.
35432,This Gun for Hire,81,1942,7.4,,8222,,,"When assassin Philip Raven shoots a blackmailer and his beautiful female companion dead, he is paid off in marked bills by his treasonous employer who is working with foreign spies."
35446,Biti ali ne biti,99,1942,8.2,86,28505,,,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
35567,Woman of the Year,114,1942,7.2,,8928,,,"Rival reporters Sam and Tess fall in love and get married, only to find their relationship strained when Sam comes to resent Tess' hectic lifestyle."
35575,Yankee Doodle Dandy,126,1942,7.7,89,13949,11800000,,"The life of the renowned musical composer, playwright, actor, dancer, and singer George M. Cohan."
35753,Le corbeau,92,1943,7.9,,8883,34909,,"A French village doctor becomes the target of poison-pen letters sent to village leaders, accusing him of affairs and practicing abortion."
35896,For Whom the Bell Tolls,170,1943,6.9,68,8256,17800000,,"During the Spanish Civil War, an American allied with the Republicans finds romance during a desperate mission to blow up a strategically important bridge."
35899,Frankenstein Meets the Wolf Man,74,1943,6.5,,7720,,,"The resurrected Wolf Man, seeking a cure for his malady, enlists the aid of a mad scientist, who claims he will not only rid the Wolf Man of his nocturnal metamorphosis, but also revive the frozen body of Frankenstein's inhuman creation."
35979,Heaven Can Wait,112,1943,7.5,,9492,,,"An old roué arrives in Hades to review his life with Satan, who will rule on his eligibility to enter the Underworld."
36027,I Walked with a Zombie,69,1943,7.1,,10884,,,"A nurse is hired to care for the wife of a sugar plantation owner, who has been acting strangely, on a Caribbean island."
36112,The Life and Death of Colonel Blimp,163,1943,8.1,,12980,,,"From the Boer War through World War II, a soldier rises through the ranks in the British military."
36244,The Ox-Bow Incident,75,1942,8.0,,20578,1635000,,"When a posse captures three men suspected of killing a local farmer, they become strongly divided over whether or not to lynch the men."
36323,Sahara,97,1943,7.5,,7843,,,"After the fall of Tobruk in 1942, during the Allied retreat in the Libyan desert, an American tank picks-up a motley group of survivors but they face advancing Germans and a lack of water."
36342,Senca dvoma,108,1943,7.8,94,58546,,,"A young girl, overjoyed when her favorite uncle comes to visit the family, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities."
36506,Vredens dag,97,1943,8.1,,9077,,,The young wife of an aging priest falls in love with his son amidst the horror of a merciless witch hunt in 17th century Denmark.
36613,Arsenic and Old Lace,118,1944,8.0,,64476,,,A writer of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
36775,Dvojno zavarovanje,107,1944,8.3,95,141144,5720000,,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.
36855,Gaslight,114,1944,7.8,,23933,,,"Years after her aunt was murdered in her home, a young woman moves back into the house with her new husband. However, he has a secret that he will do anything to protect, even if it means driving his wife insane."
36868,The Best Years of Our Lives,170,1946,8.0,93,56614,23650000,,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.
36872,Going My Way,126,1944,7.0,,10309,16300000,,"When young Father O'Malley arrives at St. Dominic's, old Father Fitzgibbon doesn't think much of the church's newest member."
36969,Jane Eyre - Sirota iz Lowooda,97,1943,7.5,,7777,3815000,,"After a harsh childhood, orphan Jane Eyre is hired by Edward Rochester, the brooding lord of a mysterious manor house, to care for his young daughter."
37008,Laura,88,1944,8.0,,42077,4360000,,A police detective falls in love with the woman whose murder he is investigating.
